Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","710","South Africa","5419","Yield","01343","Apricots","1970","1970","100 g/ha","86690","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5510","Production","01343","Apricots","1970","1970","t","25140","A","Official figure",""
"QCL","Crops and livestock products","710","South Africa","5312","Area harvested","01343","Apricots","1971","1971","ha","2900","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5419","Yield","01343","Apricots","1971","1971","100 g/ha","87145","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5510","Production","01343","Apricots","1971","1971","t","25272","A","Official figure",""
"QCL","Crops and livestock products","710","South Africa","5312","Area harvested","01343","Apricots","1972","1972","ha","2900","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5419","Yield","01343","Apricots","1972","1972","100 g/ha","72645","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5510","Production","01343","Apricots","1972","1972","t","21067","A","Official figure",""
"QCL","Crops and livestock products","710","South Africa","5312","Area harvested","01343","Apricots","1973","1973","ha","2900","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5419","Yield","01343","Apricots","1973","1973","100 g/ha","63369","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5510","Production","01343","Apricots","1973","1973","t","18377","A","Official figure",""
"QCL","Crops and livestock products","710","South Africa","5312","Area harvested","01343","Apricots","1974","1974","ha","3500","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5419","Yield","01343","Apricots","1974","1974","100 g/ha","84871","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5510","Production","01343","Apricots","1974","1974","t","29705","A","Official figure",""
"QCL","Crops and livestock products","710","South Africa","5312","Area harvested","01343","Apricots","1975","1975","ha","3000","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5419","Yield","01343","Apricots","1975","1975","100 g/ha","77143","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5510","Production","01343","Apricots","1975","1975","t","23143","A","Official figure",""
"QCL","Crops and livestock products","710","South Africa","5312","Area harvested","01343","Apricots","1976","1976","ha","4000","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5419","Yield","01343","Apricots","1976","1976","100 g/ha","89115","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5510","Production","01343","Apricots","1976","1976","t","35646","A","Official figure",""
