"date","potential_evapotranspiration","cloud_cover","precipitation","maximum_temperature","rain_days","minimum_temperature","vapour_pressure","ground_frost_frequency","diurnal_temperature_range","mean_temperature","wheat_ton_per_hectare","gdd"
2000,-0.982097143670868,0.549477149533674,2.19174618504584,-0.791696725631647,1.27694444360304,0.0648148590048047,-0.303269241833973,0.0641937962649456,-1.36732423455126,-0.477014180303958,0.74007042903895,-0.235655086051749
2001,-0.686760000569018,0.492822019708875,0.92481053630299,-0.367475811767713,0.955629813404959,0.563838636733219,0.558946403334327,-0.589163255143191,-1.24294458455469,0.0057600102272999,0.749118350881161,1.99822958649887
2002,0.716091429164772,-0.846667121148868,-0.80079497202888,0.256378473326307,-0.401031958542502,-0.212420573066535,-0.455424943922499,-0.0709835247160478,0.747129815390297,0.0680534541668202,0.803405881934429,0.680810420635684
2003,1.4544342869194,-1.41321841939686,-1.40629512203512,0.942618186929724,-1.52563316423579,0.415979739628501,0.457509268608645,0.672491740679418,1.0788088820478,0.768854698486389,0.332913946139444,-0.649337432820386
2004,0.716091429164772,-0.510783137187562,-0.0568548339149787,1.00500361543913,-0.418882771331283,1.52492146791386,1.59867703427257,-0.927106557595676,-0.0820678512534514,1.25162888901765,0.296722258770599,0.362593230813658
2005,1.38060000114394,-1.27967418480983,-1.10704100632765,1.34188492938989,-0.918705529417189,1.02589769018545,0.939335658555636,-1.10734298557033,1.0580789403817,1.25162888901765,0.613399523247993,-0.560236619670228
2006,-0.317588571691706,0.747770103920469,1.33034181459816,0.10665344490374,1.56255744822356,0.619285723147484,0.761820672785691,-0.251219952690707,-0.517396626241416,0.317227229924888,0.95722055325202,-0.585693994855985
2007,1.38060000114394,-1.80171073819548,-0.631590542119515,1.09234321535229,-0.865153091050843,0.563838636733215,0.432149984927226,-0.273749506187539,1.20318853204436,0.940161669320058,1.19246652114951,1.01812064184703
2008,0.716091429164772,-0.352958132675621,-0.469378030801446,0.905186929824085,0.36655299137514,1.21072131156634,1.09149136064416,-1.46781584151965,0.208151332071861,1.08032191818398,1.04769977167413,0.604438295078395
2009,0.568422857613847,-0.0130273537268272,-0.0904160431531991,0.742984815699639,0.955629813404959,1.21072131156634,1.0154135095999,-1.67058182299114,-0.144257676251729,1.00245511325958,1.22865820851836,-0.0192673969727694
2010,1.01142857226662,-0.288209412875852,-0.0638467525062744,1.39179327219742,0.43795624253027,1.34009784653297,1.24364706273268,-1.33263852053866,0.809319640388579,1.42293585985132,0.785310038250006,-1.00574068542106
2011,0.34692000028746,-0.154665178288826,0.990534571061173,0.281332644730066,1.24124281802548,-0.064561675961817,-0.0750356887011898,0.266959777736437,0.560560340395456,0.161493620076097,1.31913742694047,2.23371030696717
2012,1.30676571536847,-1.21087867002257,-0.0736354385340883,0.955095272631603,0.313000553008794,0.00936777259053998,-0.0750356887011898,-0.0033948642255499,1.63851730703233,0.613121088637591,1.75343767536661,-0.299298524016169
2013,1.52826857269486,-2.32779408656861,-0.663753367639478,1.15472864386169,-0.775899027106931,0.0278501347286282,0.102479297068755,-0.206160845697042,1.84581672369326,0.737707976516625,1.81677312826209,-0.757531277359885
2014,0.937594286491163,-0.6686081416995,-0.309962286919896,1.12977447245793,-0.383181145753718,0.988932965909272,1.0154135095999,-0.589163255143191,0.767859757056389,1.14261536212349,1.78962936273545,-0.872089465695801
2015,2.26661143044949,-1.30800174972223,-1.39370966857079,2.07803298580083,-1.13291528288258,1.58036855432813,1.29436563009553,-1.89587735795946,1.70070713203061,1.96800349432209,1.17437067746509,-0.884818153288688
2016,2.26661143044949,-1.26753379984737,-0.691721042004662,2.25271218562716,-0.347479520176154,1.78367453784711,1.67475488531684,-1.55793405550698,1.76289695702889,2.17045718712553,1.87106065931536,-0.22292639845888
2017,1.52826857269486,-1.27158059483486,-0.653964681611663,1.61638081483126,-0.490286022486414,0.748662258114109,0.685742821741429,-0.927106557595676,1.86654666535936,1.32949569394205,1.29199366141384,-0.973918966438847
2018,1.89744000157218,-0.976164560748407,-1.25806644789964,1.66628915763879,-1.1150644700938,1.24768603584252,1.09149136064416,-0.927106557595676,1.4104879487053,1.56309610871523,1.8258210501043,-0.878453809492253
2019,2.56194857355134,-1.88264663794519,-1.31540018034827,2.75179561370237,-1.95405267116657,2.35662776412788,2.23265912630808,-1.9184069114563,1.97019637368982,2.69995146061143,1.03865184983192,-0.967554622642412
2020,0.642257143389313,-0.458174802350249,-0.221864112669566,1.14225155815981,-0.0618665155556369,1.13679186301399,1.2690063464141,-0.453985934162198,0.602020223727645,1.18933544507813,2.23297753300381,-0.273841148830394
2021,0.199251428736535,-0.267975437938425,0.646532176369407,0.668122301488356,-0.0440157027668537,0.175709031833342,0.0264014460244923,-0.138572185206544,0.892239407052953,0.504107561743436,2.41393596984803,-0.9802833102353
2022,0.716091429164772,0.0233938011605414,0.445164920940079,1.16720572956357,1.25909363081426,0.933485879495004,0.99005422591848,-1.017224771583,0.850779523720764,1.11146864015373,1.83486897194651,-0.916639872270898
