date,potential_evapotranspiration,cloud_cover,precipitation,maximum_temperature,rain_days,minimum_temperature,vapour_pressure,ground_frost_frequency,diurnal_temperature_range,mean_temperature
1921-01-01,5.4,42.2,39.4,29.0,6.3,15.1,15.6,0.0,13.9,22.1
1921-02-01,4.9,44.2,89.8,29.3,10.5,16.2,16.5,0.0,13.0,22.7
1921-03-01,4.1,40.0,111.7,27.8,10.5,14.1,15.1,0.0,13.6,20.9
1921-04-01,3.1,36.9,46.4,24.1,6.4,10.3,12.2,0.6,13.7,17.2
1921-05-01,2.3,29.0,24.2,20.8,4.2,6.2,9.4,4.9,14.7,13.5
1921-06-01,2.0,23.3,23.0,18.8,3.2,3.5,7.9,9.8,15.4,11.1
1921-07-01,2.1,22.1,11.4,17.5,2.1,1.7,6.8,13.8,15.7,9.6
1921-08-01,2.9,25.0,9.0,19.7,2.0,3.8,7.3,9.3,15.9,11.7
1921-09-01,3.9,31.2,23.5,22.8,3.6,7.0,8.8,3.2,15.8,14.9
1921-10-01,4.7,41.0,36.5,25.0,5.9,10.5,10.9,0.6,14.6,17.7
1921-11-01,5.2,43.6,88.8,26.7,9.8,12.7,12.6,0.1,14.0,19.7
1921-12-01,5.6,41.5,86.9,28.3,9.6,14.3,13.8,0.0,14.0,21.3
1922-01-01,5.5,42.7,54.6,29.6,7.7,15.8,15.7,0.0,13.8,22.7
1922-02-01,4.9,44.2,34.9,28.8,5.8,15.8,16.1,0.0,13.0,22.3
1922-03-01,4.1,41.3,39.7,27.9,5.7,14.6,15.5,0.0,13.3,21.2
1922-04-01,3.1,36.5,14.9,25.1,3.3,11.3,13.2,0.3,13.8,18.2
1922-05-01,2.3,28.7,29.6,21.0,4.5,6.3,9.4,4.8,14.8,13.6
1922-06-01,2.0,24.8,24.5,18.4,3.5,3.4,7.8,10.1,15.0,10.9
1922-07-01,2.2,21.9,10.9,19.4,1.9,3.6,7.9,9.9,15.8,11.5
1922-08-01,3.0,25.4,30.6,20.5,4.6,4.7,7.9,7.7,15.8,12.6
1922-09-01,3.9,33.7,17.6,23.7,3.1,8.5,9.8,1.7,15.3,16.1
1922-10-01,4.7,41.7,45.0,25.4,6.4,10.9,11.3,0.4,14.4,18.1
1922-11-01,5.3,42.6,84.0,27.1,9.3,12.9,12.8,0.1,14.2,20.0
1922-12-01,5.7,41.5,45.3,29.2,6.5,15.2,14.7,0.0,14.0,22.2
1923-01-01,5.5,43.4,113.5,29.2,10.1,15.6,15.3,0.0,13.6,22.4
1923-02-01,4.9,44.2,88.2,28.8,9.0,15.7,16.1,0.0,13.0,22.2
1923-03-01,4.1,41.9,45.1,27.7,6.9,14.5,15.6,0.0,13.2,21.1
1923-04-01,3.1,36.4,31.2,24.1,5.8,10.2,12.2,0.6,13.9,17.1
1923-05-01,2.4,27.1,26.5,21.1,4.3,5.9,9.2,5.2,15.1,13.5
1923-06-01,2.0,23.6,20.5,18.7,3.7,3.4,7.8,9.9,15.3,11.1
1923-07-01,2.2,21.0,22.4,19.0,3.7,3.0,7.5,11.1,16.0,11.0
1923-08-01,3.0,25.4,9.1,21.0,2.4,5.2,8.2,6.5,15.8,13.1
1923-09-01,4.0,31.6,6.6,23.7,2.1,8.0,9.4,2.1,15.7,15.8
1923-10-01,4.9,39.5,21.4,26.9,4.8,12.1,12.3,0.1,14.8,19.5
1923-11-01,5.4,42.8,50.8,28.2,7.8,14.1,13.9,0.0,14.2,21.1
1923-12-01,5.7,41.7,50.0,29.1,6.7,15.1,14.5,0.0,14.0,22.1
1924-01-01,5.6,42.2,51.6,30.0,8.0,16.1,16.2,0.0,13.9,23.0
1924-02-01,4.9,44.2,53.0,28.4,7.3,15.4,15.5,0.0,13.0,21.9
1924-03-01,4.0,42.4,95.7,26.6,9.4,13.5,14.5,0.0,13.0,20.0
1924-04-01,3.1,36.8,16.8,24.3,4.0,10.6,12.4,0.5,13.8,17.4
1924-05-01,2.3,27.7,17.7,21.0,3.4,6.0,9.4,5.1,15.0,13.5
1924-06-01,2.0,23.5,9.5,18.5,1.9,3.1,7.7,10.5,15.3,10.8
1924-07-01,2.2,22.5,6.8,18.3,1.7,2.6,7.3,11.9,15.7,10.4
1924-08-01,2.9,25.2,17.9,19.9,3.2,4.1,7.5,8.7,15.9,12.0
1924-09-01,3.9,33.9,35.8,22.9,4.9,7.6,9.1,2.5,15.2,15.2
1924-10-01,4.7,40.5,32.1,24.9,5.3,10.3,10.7,0.6,14.6,17.5
1924-11-01,5.1,43.6,68.9,26.4,8.4,12.4,12.4,0.1,14.0,19.4
1924-12-01,5.6,41.7,100.6,28.7,10.2,14.8,14.3,0.0,14.0,21.7
1925-01-01,5.5,42.9,62.5,29.0,8.0,15.3,14.9,0.0,13.7,22.1
1925-02-01,5.0,44.2,65.7,29.6,8.2,16.6,17.1,0.0,13.0,23.1
1925-03-01,3.9,43.4,143.6,26.8,12.0,14.1,15.1,0.0,12.8,20.4
1925-04-01,3.1,37.3,61.8,24.6,6.9,11.0,12.9,0.4,13.6,17.7
1925-05-01,2.3,29.2,37.0,21.0,5.3,6.3,9.6,4.7,14.7,13.6
1925-06-01,2.0,22.2,29.1,18.3,3.9,2.6,7.4,11.6,15.7,10.4
1925-07-01,2.2,22.1,20.1,18.7,4.1,3.0,7.5,11.2,15.7,10.8
1925-08-01,3.0,24.6,7.7,21.3,2.3,5.2,8.3,6.4,16.0,13.2
1925-09-01,3.8,34.1,46.5,22.8,5.8,7.7,9.3,2.4,15.2,15.2
1925-10-01,4.7,40.4,28.6,25.1,5.3,10.4,10.8,0.5,14.7,17.7
1925-11-01,5.3,42.3,40.9,27.3,7.0,13.1,12.9,0.1,14.3,20.2
1925-12-01,5.8,40.8,42.0,29.5,7.0,15.2,14.6,0.0,14.3,22.3
1926-01-01,5.7,43.1,46.2,30.7,6.3,17.1,16.9,0.0,13.7,23.9
