weather_temperature,weather_humidity,solar_radiation,soil_moisture,soil_temperature
27.1,53.7,75,47.89,26.12
27.1,53.6,75,47.99,26.06
27.1,53.6,75,48.03,26.12
27,53.6,73,47.77,26.06
27.1,53.6,73,47.47,26.12
27.1,53.6,62,47.57,26.12
27.1,53.6,44,47.81,27.31
27.1,53.8,73,47.96,27.25
27.1,53.7,73,48.03,27.25
27,53.6,72,48.21,27.25
27,53.6,73,48.13,27.25
27,54,74,48.5,27.25
27,54.1,74,48.47,27.19
27,54,74,48.42,27.19
27,53.9,73,48.42,27.19
27,53.9,73,48.47,27.19
27,53.9,74,48.74,27.19
27,53.9,74,48.5,27.19
27,53.8,74,50.45,27.19
27,53.8,73,50.62,27.19
27,53.8,34,50.43,27.19
27,53.9,34,50.38,27.19
27,53.9,33,50.11,27.19
27,53.9,34,50.16,27.19
27,53.9,34,49.43,27.19
27,54,34,48.74,27.19
27,53.9,34,48.74,27.19
27,53.9,34,48.74,27.13
27,53.9,34,48.74,27.13
26.9,53.9,33,48.74,27.13
27,53.9,33,48.74,27.13
27,53.9,34,48.74,27.13
26.9,53.9,33,48.74,27.06
27,53.9,34,48.74,27.13
27,54,34,48.74,27.13
27,53.9,33,48.74,27.13
26.9,53.9,33,48.74,27.13
26.9,53.9,34,48.74,27.13
26.9,54.1,34,48.74,27.13
26.9,54.1,33,48.74,27.13
26.9,54.1,34,48.74,27.13
27,54.1,34,48.74,27.13
26.9,54.1,33,48.74,27.06
26.9,54,34,48.74,27.13
26.9,54,34,48.74,27.06
26.9,54,33,48.74,27.13
26.9,54,34,48.74,27.06
27,54,33,48.74,27.13
27,54,33,48.74,27.06
26.9,54.1,34,48.74,27.06
26.9,54.1,60,48.74,27.06
26.9,54.1,60,48.74,27
26.9,54.3,59,48.74,27.06
26.9,54.1,60,48.74,27
26.9,54.1,59,48.74,27.06
26.9,54,60,48.74,27.06
26.9,54,60,48.74,27.06
27,54,60,48.74,27.06
26.9,54,60,48.74,27.06
26.9,53.9,60,48.74,27.06
26.9,53.9,59,48.74,27.06
26.9,53.9,59,48.74,27.06
26.9,54,59,48.74,27
26.9,54.2,59,48.74,27.06
26.9,54.2,59,48.74,27.06
26.9,54.1,59,48.74,27.06
26.9,54.1,59,48.74,27.06
26.9,54.1,60,48.74,27.06
26.9,54,60,48.74,27.06
26.9,54,60,48.74,27.06
27,54.1,60,48.74,27.06
26.9,54,60,48.74,27.06
29.4,55.7,20,48.74,29.19
29.4,55.7,23,48.74,29.12
29.4,55.6,22,48.74,29.12
29.5,55.6,21,48.74,29.12
29.5,56,21,48.74,29.06
29.4,56,21,48.74,29.12
29.5,55.8,21,48.74,29.12
29.5,55.6,21,48.74,29.06
29.5,55.5,22,48.74,29.06
29.5,55.5,22,48.74,29.06
29.5,55.4,21,59.66,29.12
29.5,55.5,21,56.85,29.06
29.4,55.5,22,54.82,29.06
29.5,55.5,22,53.24,29.06
29.4,55.4,22,52.16,29.06
29.5,55.5,22,50.99,29.06
29.5,55.4,21,50.79,29.06
29.6,51.6,25,50.7,29.56
29.6,51.6,53,50.48,29.5
29.6,51.5,53,50.45,29.5
29.7,51.4,53,50.62,29.5
29.7,51.1,52,50.43,29.44
29.7,51.1,53,50.38,29.5
29.7,51.2,53,50.11,29.44
29.7,51.1,53,50.16,29.5
29.7,51.1,53,49.43,29.44
29.7,51.1,53,50.23,29.44
29.7,51.1,53,50.21,29.5
29.6,51.1,53,50.18,29.44
29.7,51.1,53,50.01,29.5
29.7,51.1,53,50.01,29.44
29.7,51.1,53,50.01,29.44
29.7,51.1,54,49.87,29.5
29.7,51.2,53,49.55,29.5
29.7,51.1,53,47.72,29.5
29.7,51.3,53,50.23,29.5
29.7,51.4,53,47.62,29.5
29.7,51.5,53,46.84,29.5
29.7,51.3,53,46.15,29.5
29.7,51,54,46.79,29.5
29.7,51.1,54,46.76,29.5
29.7,51.2,54,46.25,29.5
29.7,51.1,54,46.89,29.5
29.7,51,53,46.74,29.5
29.7,50.9,53,46.47,29.56
29.7,50.9,54,46.98,29.5
29.7,51.1,54,47.89,29.5
29.7,51.1,54,47.99,29.5
29.7,51,54,48.03,29.44
29.7,51,54,47.77,29.5
29.7,51.1,54,47.47,29.5
29.7,51,54,47.57,29.5
29.7,51.1,54,47.81,29.5
29.7,51.2,54,47.96,29.5
32,51.3,54,48.03,29.5
28.8,45.1,51,48.21,29
28.9,45.1,52,48.13,29
28.9,45.2,57,48.5,29.06
28.8,45.2,58,48.47,28.94
28.9,45.1,59,48.42,28.94
28.9,45.2,58,48.42,29
28.9,45.2,58,48.47,28.94
28.9,45.1,58,48.74,29
28.9,45,58,48.5,29
28.9,45,58,50.45,29
28.9,45.1,58,50.62,29
28.9,45.1,58,50.43,28.94
28.9,45.1,58,50.38,28.94
28.9,45.1,58,50.11,28.94
28.9,45.2,58,50.16,28.94
