datetime,tempmax,tempmin,temp,dew,humidity,precip,precipprob,sealevelpressure,cloudcover,visibility,solarradiation,uvindex
2022-10-02,32,13.5,22.5,4.7,34.5,0,0,1024.3,4.4,10.2,283.3,9
2022-10-03,33.9,13.5,23.3,4.6,33.6,0,0,1021.7,7.7,10.2,274.8,9
2022-10-04,33.8,16.3,24.3,2.8,27.4,0,0,1020.1,15.8,10.2,267.3,9
2022-10-05,29,16.9,21.9,9.2,47.2,0,0,1023.1,6.5,10.2,285.8,10
2022-10-06,32,13.6,22.3,3.4,34,0,0,1022.6,0.3,10.2,276.9,9
2022-10-07,31.8,15.1,23.1,4.2,32.2,0.1,100,1023.9,14.9,10.2,250.1,9
2022-10-08,26.9,15.8,20.7,9.1,50.1,0.5,100,1026.6,22.2,10.2,170.8,7
2022-10-09,29.9,12.4,21.1,2.7,35,0.3,100,1026.8,39.7,10.2,228.7,9
2022-10-10,31.9,15.1,23.2,2.3,27.8,0,0,1027.1,35.1,10.2,252.1,9
2022-10-11,29.8,14.1,21.8,6.1,41.7,0,0,1027.2,19.6,10.1,268.3,9
2022-10-12,31.1,14.3,22.6,4.2,33.4,0,0,1025.2,28.6,10.2,277,9
2022-10-13,30.3,15.2,22.8,5.8,36.2,0.3,100,1024.6,35.1,10.2,289.9,9
2022-10-14,30.2,14.2,22.7,4.1,33.3,0,0,1023.1,15.9,10.1,274.2,9
2022-10-15,30.9,16.9,22.3,7.1,40.2,0,0,1021.4,40.1,10.2,268.5,9
2022-10-16,25.9,14.9,19.5,9.2,53.5,0,0,1022.5,69.7,10,230.9,8
2022-10-17,22.7,14,18,10.1,61.1,0,0,1025.4,66.4,10.2,130.3,7
